AUSTRIA,AT,Financial Market Authority (FMA)," https://www.fma.gv.at/en/search-company-database/?cname=&amp,place =&amp,bic=&amp,category=165&amp,per_page=10&amp,submitted=1"
BELGIUM,AT,National Bank of Belgium (NBB), https://www.nbb.be/fr/supervision-financiere/controle-prudentiel/domaines-de-controle/etablissements-de-credit/listes-7#bm_Header_2
BULGARIA,BG,Financial Supervision Commission (FSC), http://www.bnb.bg/RegistersAndServices/RSCIRegisters/BS_CI_REG_BANKSLIST_EN
CROATIA,HR,Hrvatska Narodna Banka (HNB), https://www.hnb.hr/en/core-functions/supervision/list-of-credit-institutions
CYPRUS,CY,Central Bank of Cyprus (CBC), https://www.centralbank.cy/en/licensing-supervision/banks/register-of-credit-institutions-operating-in-cyprus
CZECH REPUBLIC (THE),CZ,Czech National Bank (CNB)," https://apl.cnb.cz/apljerrsdad/JERRS.WEB15.BASIC_LISTINGS_RESPONSE_3?p_lang=en&amp,p_DATUM=28.02.2018&amp,p_hie=HI&amp,p_rec_per_page=25&amp,p_ses_idx=1"
DENMARK,DK,finanstilsynet (FSA), https://virksomhedsregister.finanstilsynet.dk/
ESTONIA,EE,FINANTSINSPEKTSIOON (FSA), https://www.fi.ee/en/supervised-entities
FINLAND,FI,Finanssivalvonta (FIN-FSA), https://www.finanssivalvonta.fi/en/registers/supervised-entities/
FRANCE,FR,"Autorité de Controle Prudentiel (ACPR) ""Regafi"""," https://www.regafi.fr/spip.php?page=results&amp,type=advanced&amp,id_secteur=3&amp,lang=en&amp,denomination=&amp,siren=&amp,cib=&amp,bic=&amp,nom=&amp,siren_agent=&amp,num=&amp,cat=01-TBR07&amp,retrait=0"
GERMANY,DE,Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin), https://portal.mvp.bafin.de/database/InstInfo/
GREECE,GR,Bank Of Greece, https://www.bankofgreece.gr/BogDocumentEn/1_CreditInstitutions.xlsx
HUNGARY,HU,Magyar Nemzeti Bank (MNB), https://intezmenykereso.mnb.hu/en/Home/Index
ICELAND,IS,Narodna Banka Slovenska (NBS), https://en.fme.is/supervision/supervised-entities/
IRELAND,IE,Central Bank of Ireland (CBI), http://registers.centralbank.ie/FirmSearchPage.aspx
ITALY,IT,Banca d'Italia, https://infostat.bancaditalia.it/giava-inquiry-public/flex/Giava/ GIAVAFEInquiry.html#
LATVIA,LV,Finansu un Kapital Tirgus Komisija (FKTK), http://www.fktk.lv/en/market/credit-institutions/banks.html
LIECHTENSTEIN,LI,Finanzmarktaufsicht Liechtenstein (FMA), http://register.fma-li.li/index.php?id=142
LITHUANIA,LT,Bank of Lithuania (LB)," https://www.lb.lt/en/sfi-financial-market-participants?ff=1&amp,market=1&amp, type%5B%5D=3&amp,business_form%5B%5D=82"
LUXEMBOURG,LU,Commission de Surveillance du Secteur Financier (CSSF), https://supervisedentities.apps.cssf.lu/index.html?language=fr#Home
MALTA,MT,Malta Financial Services Authority (MFSA), https://www.mfsa.com.mt/financial-services-register/
NETHERLANDS (THE),NL,De Nederlandsche Bank (DNB), https://www.dnb.nl/en/supervision/public-register/index.jsp
NORWAY,NO,Finanstilsynet (FSA), https://www.finanstilsynet.no/en/finanstilsynets-registry/
POLAND,PL,Komisja Nadzoru Finansowego (KNF), https://erup.knf.gov.pl/View/
PORTUGAL,PT,Banco De Portugal, https://www.bportugal.pt/en/entidades-autorizadas/67/all
ROMANIA,RO,Banca Nationala a Romaniei (BNR), http://www.bnro.ro/files/d/RegistreBNR/InstitCredit/ban1_raport.html
SLOVAKIA,SK,Narodna Banka Slovenska (NBS)," https://subjekty.nbs.sk/?aa=select_categ&amp,bb=20&amp,cc=&amp,qq="
SLOVENIA,SI,Banka Slovenije (BSI), https://www.bsi.si/en/financial-stability/institutions-under-supervision
SPAIN,ES,Banco de Espana (BDE)," http://app.bde.es/ren/app/Search?CFG=ConsultaEntidadesCon.xml&amp,TipoFormato=XSL&amp,Paginate=OPEN&amp,TIPO=BP&amp,DONDE=11&amp,LEI=&amp,ORDEN=2&amp,RADIO=0"
SWEDEN,SE,Finansinspektionen (FI)," https://www.fi.se/en/our-registers/company-register/?huvudkategori=Bank&amp,cat=BANK&amp,area=#results"
UNITED KINGDOM,GB,Financial Conduct Authority (FCA), https://register.fca.org.uk/ShPo_registerdownload?file=CreditInstitutions']
